idrfid, date, intime, outtime
2222, 2023-03-19, 13:46:46, 14:46:46
2323, 2023-03-19, 15:54:29, 16:54:29
3214, 2023-03-19, 13:50:29, 14:50:29
1892, 2023-03-19, 17:42:24, 18:42:24
1234, 2023-03-19, 17:33:27, 18:33:27
3214, 2023-03-19, 16:41:43, 17:41:43
1112, 2023-03-19, 17:27:42, 18:27:42
2323, 2023-03-19, 17:21:10, 18:21:10
1892, 2023-03-19, 15:05:47, 16:05:47
1111, 2023-03-19, 16:02:52, 17:02:52
1093, 2023-03-19, 15:59:35, 16:59:35
2222, 2023-03-19, 13:48:57, 14:48:57
1111, 2023-03-19, 16:50:28, 17:50:28
1094, 2023-03-19, 15:00:01, 16:00:01
2323, 2023-03-19, 16:04:35, 17:04:35
1093, 2023-03-19, 15:13:41, 16:13:41
1892, 2023-03-19, 16:08:48, 17:08:48
1112, 2023-03-19, 16:22:30, 17:22:30
1112, 2023-03-19, 14:41:24, 15:41:24
2004, 2023-03-19, 14:38:45, 15:38:45
