idrfid, date, intime, outtime
3214, 2023-03-19, 15:26:29, 16:26:29
3214, 2023-03-19, 15:40:45, 16:40:45
3214, 2023-03-19, 13:11:31, 14:11:31
1111, 2023-03-19, 14:02:15, 15:02:15
1111, 2023-03-19, 16:03:00, 17:03:00
3214, 2023-03-19, 13:00:23, 14:00:23
1234, 2023-03-19, 13:57:10, 14:57:10
2323, 2023-03-19, 16:14:47, 17:14:47
3333, 2023-03-19, 17:03:03, 18:03:03
1234, 2023-03-19, 17:39:24, 18:39:24
1093, 2023-03-19, 15:34:27, 16:34:27
1094, 2023-03-19, 16:45:03, 17:45:03
3214, 2023-03-19, 14:11:04, 15:11:04
2323, 2023-03-19, 16:17:16, 17:17:16
1094, 2023-03-19, 16:57:01, 17:57:01
1112, 2023-03-19, 14:14:33, 15:14:33
1892, 2023-03-19, 14:45:58, 15:45:58
1112, 2023-03-19, 14:11:22, 15:11:22
3214, 2023-03-19, 14:18:59, 15:18:59
3214, 2023-03-19, 14:55:30, 15:55:30
