idrfid, date, intime, outtime
1112, 2023-03-19, 16:03:36, 17:03:36
1093, 2023-03-19, 13:59:15, 14:59:15
1112, 2023-03-19, 13:37:10, 14:37:10
2222, 2023-03-19, 13:42:41, 14:42:41
1094, 2023-03-19, 16:43:02, 17:43:02
3214, 2023-03-19, 13:03:42, 14:03:42
2222, 2023-03-19, 17:55:56, 18:55:56
1892, 2023-03-19, 17:06:23, 18:06:23
2323, 2023-03-19, 14:29:03, 15:29:03
2004, 2023-03-19, 15:42:59, 16:42:59
2323, 2023-03-19, 15:16:07, 16:16:07
1093, 2023-03-19, 17:55:53, 18:55:53
1892, 2023-03-19, 13:50:34, 14:50:34
1111, 2023-03-19, 16:40:42, 17:40:42
1234, 2023-03-19, 15:35:28, 16:35:28
2004, 2023-03-19, 17:48:14, 18:48:14
3333, 2023-03-19, 15:21:11, 16:21:11
3333, 2023-03-19, 13:04:05, 14:04:05
1234, 2023-03-19, 15:04:17, 16:04:17
1093, 2023-03-19, 14:42:58, 15:42:58
