idrfid, date, intime, outtime
2004, 2023-03-19, 15:13:57, 16:13:57
1111, 2023-03-19, 16:12:43, 17:12:43
3214, 2023-03-19, 13:04:40, 14:04:40
1112, 2023-03-19, 14:29:55, 15:29:55
1093, 2023-03-19, 17:23:52, 18:23:52
2004, 2023-03-19, 16:09:59, 17:09:59
2004, 2023-03-19, 13:04:03, 14:04:03
2323, 2023-03-19, 16:16:07, 17:16:07
2222, 2023-03-19, 15:43:07, 16:43:07
1111, 2023-03-19, 15:59:10, 16:59:10
1093, 2023-03-19, 14:15:55, 15:15:55
1093, 2023-03-19, 16:00:08, 17:00:08
1093, 2023-03-19, 16:48:19, 17:48:19
2323, 2023-03-19, 16:33:40, 17:33:40
2004, 2023-03-19, 14:04:36, 15:04:36
2222, 2023-03-19, 16:03:58, 17:03:58
1234, 2023-03-19, 13:00:53, 14:00:53
1112, 2023-03-19, 15:49:41, 16:49:41
1111, 2023-03-19, 16:00:49, 17:00:49
3333, 2023-03-19, 15:44:57, 16:44:57
